titan,name,arc,mount,pts,sRange,lRange,sAcc,lAcc,dice,str,traits,disabled,repair,detA,detB,qty
Warmaster,Apocalypse Missile Array,FRONT,Warmaster Shoulder,10,"30""","120""",—,1,3,4,Barrage,10,4,"10-13: Detonation (Body, S7)","14+: Detonation (Body, S9)",1
Warmaster,Cruciator Gatling Array,CORRIDOR,Warmaster Carapace,40,"10""","30""",1,—,12,6,"Carapace, Ordnance",12,4,"12-15: Detonation (Body, S7)","16+: Detonation (Body, S9)",1
Warmaster,Desolator Chainsword,FRONT,Warmaster Arm,50,"4""",—,1,—,4,10,"Melee, Rending, Bypass",12,2,"12-15: Detonation (Body, S7)","16+: Detonation (Body, S9)",1
Warmaster,Inferno Gun,FRONT,Warmaster Shoulder,25,T,—,—,—,3,7,Firestorm,10,4,"10-13: Detonation (Body, S7)","14+: Detonation (Body, S9)",1
Warmaster,Krius Grav Imploder,FRONT,Warmaster Arm,60,"2""","8""",2,—,2,12,"Short: Melee, Rending. Long: Concussive, Draining, Ordnance, Quake",12,3,"12-15: Detonation (Body, S7)","16+: Detonation (Body, S9)",1
Warmaster,Krius Siege Drill,FRONT,Warmaster Arm,50,"2""",—,2,—,3,13,"Melee, Fusion (Draining)",12,3,"12-15: Detonation (Body, S7)","16+: Detonation (Body, S9)",1
Warmaster,Melta Cannon,FRONT,Warmaster Shoulder,30,8”,16”,—,—,1,10,"Blast (3”), Fusion",10,4,"10-13: Detonation (Body, S7)","14+: Detonation (Body, S9)",1
Warmaster,Plasma Blast Gun,FRONT,Warmaster Shoulder,40,"8""","24""",—,-1,2,8,"Blast (3”), Maximal Fire",10,4,"10-13: Detonation (Body, S7)","14+: Detonation (Body, S9)",1
Warmaster,Turbo Laser Destructor,FRONT,Warmaster Shoulder,30,"16""","32""",—,—,2,8,Shieldbane (Draining),10,4,"10-13: Detonation (Body, S7)","14+: Detonation (Body, S9)",1
Warmaster,Vulcan Megabolter,FRONT,Warmaster Shoulder,20,"8""","20""",1,—,6,4,Rapid,10,4,"10-13: Detonation (Body, S7)","14+: Detonation (Body, S9)",1
Warlord,Apocalypse Missile Launchers,CORRIDOR,Warlord Carapace,15,"30""","120""",—,1,10,4,"Barrage, Carapace, Paired",11,4,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Arioch Titan Power Claw,FRONT,Warlord Arm,25,"2""",—,2,—,3,12,"Concussive, Melee",11,2,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Bellicosa Volcano Cannon,FRONT,Warlord Arm,55,"30""","60""",—,—,1,12,"Blast (5”), Draining",11,5,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Conversion Beam Extirpator,FRONT,Warlord Arm,60,"25""",50”*,—,—,2,10/12*,"Draining*, Maximal Fire*",11,5,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Graviton Ruinator,FRONT,Warlord Arm,30,"22""","45""",—,—,2,10,"Concussive, Rending",11,4,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Macro-Gatling Blaster,FRONT,Warlord Arm,30,"8""","24""",1,—,6,7,Ordnance,11,3,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Mori Quake Cannon,FRONT,Warlord Arm,20,"24""","72""",-1,—,1,9,"Blast (5”), Concussive, Quake",11,3,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Paired Gatling Blasters,CORRIDOR,Warlord Carapace,30,"8""","24""",1,—,12,5,"Carapace, Paired, Ordnance",11,3,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Paired Laser Blasters,CORRIDOR,Warlord Carapace,50,"16""","32""",—,-1,6,8,"Carapace, Paired, Shieldbane (Draining)",11,4,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Paired Turbo Laser Destructors,CORRIDOR,Warlord Carapace,35,"18""","32""",—,—,4,8,"Carapace, Paired, Shieldbane (Draining)",11,4,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Sunfury Plasma Annihilator,FRONT,Warlord Arm,45,"12""","24""",—,—,4,8,Maximal Fire,11,5,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Volkite Destructor,FRONT,Warlord Arm,40,"16""","24""",—,—,3,6,"Voidbreaker (2), Beam (1) (Draining)",11,4,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Vulcan Mega-Bolter Array,CORRIDOR,Warlord Carapace,20,"10""","20""",1,—,12,4,"Carapace, Paired, Rapid",11,3,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warbringer,Bellicosa Volcano Cannon,CORRIDOR,Warbringer Carapace,55,"30""","60""",—,—,1,12,"Blast (5”), Draining",11,5,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warbringer,Chasmata Laser Blaster,FRONT,Warbringer Arm,40,"22""","35""",—,-1,3,8,,11,4,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
