titan,name,arc,mount,pts,sRange,lRange,sAcc,lAcc,dice,str,traits,disabled,repair,detA,detB,qty
Warlord,Apocalypse Missile Launchers,CORRIDOR,Warlord Carapace,15,"30""","120""",—,+1,10,4,"Barrage, Carapace, Paired",11,4+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Arioch Titan Power Claw,FRONT,Warlord Arm,25,"2""",—,+2,—,3,12,"Concussive, Melee",11,4+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Bellicosa Volcano Cannon,FRONT,Warlord Arm,55,"30""","60""",—,—,1,12,"Blast 5"", Draining",11,4+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Conversion Beam Extirpator,FRONT,Warlord Arm,60,"25""","50""",—,—,2,10/12*,"Draining (long), Maximal Fire (long)",11,4+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Graviton Ruinator,FRONT,Warlord Arm,30,"22""","45""",—,—,2,10,"Concussive, Rending",11,4+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Macro-Gatling Blaster,FRONT,Warlord Arm,30,"8""","24""",+1,—,6,7,Ordnance,11,3+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Mori Quake Cannon,FRONT,Warlord Arm,20,"24""","72""",-1,—,1,9,"Blast 5"", Concussive, Quake",11,3+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Paired Gatling Blasters,CORRIDOR,Warlord Carapace,30,"8""","24""",+1,—,12,5,"Carapace, Paired, Ordnance",11,3+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Paired Laser Blasters,CORRIDOR,Warlord Carapace,50,"16""","32""",—,-1,6,8,"Carapace, Paired, Shieldbane (Draining)",11,4+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Paired Turbo Laser Destructors,CORRIDOR,Warlord Carapace,35,"18""","32""",—,—,4,8,"Carapace, Paired, Shieldbane (Draining)",11,4+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
Warlord,Sunfury Plasma Annihilator,FRONT,Warlord Arm,45,"12""","24""",—,—,4,8,Maximal Fire,11,4+,"11-14: Detonation (Body, S7)","15+: Detonation (Body, S9)",1
